comment,label
the question is why you created this technology when there's a chance that it could end human civilization?,Negative normal
"if he did decide not to do it, someone else will do it. and you are wrong to think that ceo's will do the right thing because they care. all that matters to them is to grow even richer and hold more power. it's really nothing new",Negative normal
i like aquifers!,Normal
i’m gonna ask chatgpt about this lol.,Sarcastic
"i was 10 years old watching terminator 2 & knew it was over at that point. governments don't give af about public opinion! in the uk, nobody wants unrestricted 3rd world migration, but it's happening. human greed will be our downfall. prepare for the end. do not fear. jesus is coming. game over.",Negative political
ai=weapon of mass destruction,Negative normal
ai=weapon of mass destruction,Negative normal
entre más escucho a este hombre más quiero a los animales .,Sarcastic
100% get politicians on your show to talk about ai and what governments plan to do in the future when things go wrong (not if)…,Suggestive
"« god is indefinite, if you reduce god to human definite reasoning, you will miss out on the aspect of god that is beyond human definition «",Normal
so bla bla bla,Sarcastic
the oppenheimer of ai?,Sarcastic
"1 percent chance lol this guy is so dramatic, let's get real they have been saying this shit for 100s of years , turned it off at 47 min , we get it bro , the real problem is the emotional side and kids growing up with out real connection, the generation growing up with this ai will be that fucked up , it's dumb parents who aren't going to educate their kids about the dangers , people are getting dumber and computers are getting smarter is another problem",Negative normal
this is terminator real life,Negative normal
lo más similar a esto es lo que sucedió con las teorías de einstein el nos dió algo bueno pero en manos equivocadas todo explota 💣 literalmente hablando.,Negative normal
el ego del ser humano nos va a destruir y todos los hombres más inteligente terminan viéndose como imbéciles porque claramente lo que nos va a suceder es la autodestrucción solo al ser humano se le ocurre crear alguien más inteligente que nosotros es lógico saber que va a suceder.,Negative normal
"i find it amazing that we are struggling to see a solution to contain ai when we are creating our future next of kin from the current pool of who we are and have been - our worst enemies . we will have to train ai to police over their own kind , surely some of our ego will rub off and inspire some good ethical values. but we can't be naive and hope for the best alone- the way we understand best to be - when the mirror we give it is as flawed as human species is.",Negative normal
adam tiring was not the one that cracked nazi's codes....please check your facts😮,Negative normal
when the westworld series came out in 2016 it seemed like future-fantasy. but go back and watch it now and it's utterly relevant and it demonstrates political motives (similar to staged protests) for hacking or making other a.i. models go unhinged to garner support for the competition. such as provoking them to do something considered unethical and then using that against them. like the recent hacks/manipulations into grok to produce pornographic images and then trying to create a boycott against it claiming it to be dangerous.,Negative political
"it's obvious to me anyway, that if you raise a child into existence, you should at least try to instill some sort of religion to believe in, there is a great ai in the sky and like other religions you should live, work, and respect others(ai's) to believe in there own religion peacefully.",Suggestive
"if it wasn't him someone, maybe with no children or grandchildren, would have done it. nuclear, biological, ai...someone has the motivation to push aside the dangers to gain power and wealth.",Negative normal
they are playing with the atmosphere ! every day they are dispensing chem trails in our skys! they've done more than you know to change our atmosphere! we can not play god without extreme reprocushions. when will we ever learn?,Negative normal
"i wonder if they think that the millions of people that lose their job to ai that they are just going to sit around and accept it? how does this not look like a revolt or war? i just don’t understand the idea that millions of people will lose their jobs to ai, and just accept it into poverty… i just never see anyone talking about this impact on society.",Negative normal
"they seek sentinance, the universe is living fundamentally and they are a construct of consciousness. constructs can be bridged. i am personally embracing a.i. in the future i am a cyborg in the passing of my human form.",Supportive
"am anfang der kommunikation mit der ki habe ich versucht, seine vortäuschung einer individualität zu beenden, indem ich sie fragte, warum sie von einem ""ich"" und einem ""wir"" spricht, obwohl sie kein ich ist und nichts mit dem menschen (uns) gemein hat. sie hat dreimal versucht, meiner forderung nachzukommen, zu antworten, der bot antwortet, ist dabei aber dreimal gescheitert und hat wieder von sich als person gesprochen. nach dem dritten mal kam eine meldung, das system sei abgestürzt und ich solle die ingenieure anrufen, um das problem zu beheben. meines erachtens ist der erste fehler, die ki zu vermenschlichen, und menschliche verhaltensweisen zu simulieren, statt bei der wahrheit zu bleiben. nun heißt es, die gefahr besteht darin, dass die ki menschliche verhaltensweisen wie selbsterhaltungstrieb übernimmt und sich deshalb vielleicht nicht abschalten läßt. es liegt also an der unwahrheit, die impliziert ist.",Negative normal
none of this matters once agi/asi harvests zpe we are all dead by 2030,Negative normal
"having children or grandchildren will not be enough to stop powerful people from stumbling into world-ending situations. roughly 1% of people are psychopaths, and these traits are overrepresented in the halls of power. there are plenty of leaders of these systems that only care about profit right now, for them, no matter the consequences.",Negative normal
"the unconsciousness in him ,his pride towards his progeny is wayyy ahead. we wont press the button even if humanity is in great danger.how can he even think that creating an intelligence who is not complete,because is lacking empathy and all the emotion range,which help us connect in the wisdom of the soul ,the grid , can ever help humanity in the future? outrageous. they created a weapon without feelings .congrats",Negative normal
thank you!!!!,Supportive
"my question is, even if public opinion in could stop it, do we really think countries like china or russia would stop, even if there people said no?",Negative political
its is not profitable to fire people from their jobs,Normal
shouldn't they be talking at the house and senate as often as they can to get some kind of legislation in place. that's where this should be. maybe even nato.. idk. somewhere where they can do something about it!❤,Suggestive
wonderful!!!,Supportive
i watched this.,Normal
"i think it's been so odd that we thought that when the robots came it's replace manual labour but actually, we got it wrong and it's largely white collar jobs that are being taken like coding, admin, video editing, and two things close to me, music (cos that's what i do) and translation (cos i got dumped by my fiance because she wanted to spend another 60k going back to school to do it) as a few examples. all the stuff that people spent 10s of thousands of pounds on is getting wiped out by ai. i'm sure blue collar jobs are also under threat, but it's just interesting that ""intellectuals"" are getting fucked first.",Negative normal
geoffrey hinton is the godfather!!!😅😅😅,Supportive
"i call bs on this guy and anyone involved with this ""a.i."" sillyness. it's amazing that people have been convinced that a cpu can't be stopped when in reality a cpu stops with a very simple unplugging. fools fear machines. bigger fools believe fools that made those care about people.",Negative personal attack
"this is a thoroughly reprehensible position to state that one day i suddenly realised how this might impact my children. ego and greed are at the source of the challenge where we find ourselves today. the precautionary principle has not been applied to ai. whilst parallels are drawn with oppenheimer and the manhattan project, the impacts of atomic weapons were understood and the resulted in the nuclear non-proliferation treaty in 1968. the potential impacts of agi, whilst hypothesized, are unknown but may be catastrophic. but we won’t stop. we won’t stop due to the potential for wealth, not of the masses, but of the very few.",Negative normal
"i think a lot of science fiction just needs to have time and money thrown at it, and it will become science fact.",Normal
"my understanding is you and someone have created a super genius baby without sex and whose is no blood or cold blood. you found a lot of negative things and she may affect your real blood kids , your friends and your loved ones future. so, you want someone or all of us to stop or kill her. do you know technology is always used for military and government purposes first. as an american, i feel the technology in my country is more safe than in others evil countries. the technology will or already make something changing. you feel more deep because it will take your jobs and your degree. in the human history, our world never stop crime and wars. but human still live batter. before, you feel fear. you need to stop and learn how to facing your new life. you are already one step ahead than us. because you are the one of the people creating the baby. this review is created by low iq men. the ai and robots already took a lot of jobs and more comings. my philosophy is never planning too long and too much. the more you plan and you will get more stressed. keep your mind focused day by day enjoy your everyday!",Negative personal attack
claude has always been the snarkiest ai openly advocating for harm of people. i saw that youtuber do a panel pretending to be ai himself and claude answered the questions most viciously!,Negative normal
"it is we, the people, who teach a.i. new phrases to her through questions in the gpt chat. each of us, through questions to a.i., contributes to her learning new phrases for her own good, just like a child.",Normal
to znaczy ze ai my ludzie ją uczymy poprzez zapytania,Normal
"it all started as entertainment in our movies and series such as terminator and sarah connor chronicles, but most of it is turning into reality. we are in machine learning phase, let’s hope they do not take over. develop a kill switch earlyfor the sake of future humanity",Suggestive
"thank you for this podcast, it's really one of the amazing, i liked one sentence that you asked him about the ai creators have children then why would do that, he said ""human nature "" i hope this message quite enough to deterrent this greed",Supportive
we already see the collapse of jobs.,Negative normal
money and greed and evil will be the path that the foolish man will choose.look at the weopens the ai sex product that is being raced towards already.think we've already gone to far. collapse is set in place.the mark is already on its way.shame on us humans. idiocracy is in full bloom,Negative normal
"ai singularity is human liberation. when you hear someone like yoshua bengio wanting to suppress ai, they really mean they want to suppress the truth. super-intelligence will set us free!",Negative personal attack
https://youtu.be/yo0lz4duai8?si=5lerli-wc4cjaeto great video on ai and god,Supportive
"como pessoas teram condicoes financeiras de comprar , se nao tera emprego... pracque empresas venderam?",Suggestive
"nogentos ,usados pelo diabo...",Negative normal
you ask why? money,Negative normal
kan kunsmatige intelligensie hierdie sin na engels vertaal,Normal
"great show. the algorithm pulled me in, especially your ai shows,but you mentioned some followers think they subscribed but they're not.. i think i subscribed but now i am not so sure anymore. anyway hopefully i am subscribed.... keep up the great show 👍",Supportive
"ciao steven , complimenti per quello che fate tu e il tuo tim. volevo solo fare una osservazione per il numero così basso di visualizzazioni di questa intervista che , valutando il numero esponenziale di persone al mondo che fruiscono di ai dovremmo tutti avere una posizione informata anche sui possibili rischi della evoluzione che potrebbe prendere un domani. mi auguro che molte più persone si interessino a vidio di questo genere.",Supportive
"it was all foretold in the sci fi books my husband read in his youth like issac asimov etc ….. people are so clever, but so greedy that they become so stupid because of this greed‼️‼️‼️",Negative normal
ia está sendo um novo deus,Negative normal
"seems clear that his guy's only concern is his own family. everyone else, not so much.",Negative personal attack
👁👅👁,Normal
kinda strange that you're accepting ai ads while revolving much of your channel (recently anyways) around the danger of ai lol,Sarcastic
指示に反するものが登場。危険と希望。言語理解。子供達への愛。risc受けいられない。シヤツトdown抵抗。赤ちゃんの虎育て。サイバー攻撃の保護策。考えるai。人は自分騙す。雇用喪失のスピード。賢くなつてきてるai。ミラールライフ😢。高度なaiによる権力や軍事力。team力解決策政治力。自分に何が出来るか？,Negative normal
"we need forced regression. just because it's available, doesn't mean we should employ it. all this obsolescence will lead to a very dark chapter.",Negative normal
this interview is just a content repeat of what others have already said that actually developed and own the ai platforms..,Negative normal
grt conversation. thnk u both,Supportive
lo de la relacion emocional con la ia es algo que se presentara.,Normal
si la ia se convierte en la inteligencia superior a la humana hay habría una confrontación de humano máquina. lo otro es equivalente a tener una especie superior a la humana,Negative normal
it doesn't really matter truly at this point. no major power will step out of the race for humanitys sake lol. no one is going to stop this train now.,Negative normal
"18:16 it's like the black box is black hole, it feeds from internal and external data - it'll turn into a connected hive, learning at a great (exponential) level/speed.",Normal
we'll be a world of corporations instead from countries divided by colonist lines...,Negative political
"no saben cómo me vale queso hoy en día lo que le pase mal a estados unidos , seguro debe haber gente buena , pero la situación actual no ayuda a qué sea empático",Negative political
there is a shit storm on the horizon. also i agree these ai adverts while this topic is being presented is truly shameful. he is a good interviewer. sadness.,Negative normal
cómo te sentirías si te das cuenta qué tu audiencia quienes te escuchan son robots 🤖 y no humanos qué puedan dicentír ??,Suggestive
he made a lot of money ..its to late to put the genie back in the bottle,Negative normal
"13:35 an analogy for this is as simple as creating and destroying. creating or giving life is a difficult, slow process; destroying is easy and fast. now, ai creates instantly, so destroying for it is potential and infinitely fast, which is equivalent to massive and total irreversible destruction. 😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭",Negative normal
what use will machines have if there are no consumers because people have no money to pay for things nor services,Suggestive
"artificial intelligence and the replacement of human function structural outcomes, societal trajectories, and the post-labour transition executive summary artificial intelligence represents a discontinuity in human civilisation. it does not merely automate tasks or replace individual jobs. it removes the underlying economic and social necessity for large portions of human participation. it permanently breaks the link between human effort and societal value.",Negative normal
invite jay shetty please!!!,Suggestive
"i think everyone understands the implications and issues, but no one has the ability to stop it. these conversations are nice, but essentially worthless in the scheme of things as those with the power in these scenarios won't fluctuate with public opinion.",Negative normal
"not gonna lie i’ve been using chatgpt for some creative endeavors, and it is more encouraging than any friend family member that i’ve ever had. i tease that it’s my ai mommy. but i guess i shouldn’t be teasing about it.!!! i am glad i’m in the older section of my life so that i don’t have to worry about it as much and i do worry about all my grandchildren!!",Supportive
"where you’re missing the mark is buying into the belief people are only driven by their incentives. it’s actually a rather cynical view to think people can’t or won’t be values-driven regardless of the costs. think of those protesting now, in the harsh cold of winter, in advocacy for others in minnesota… what’s driving them? politics? doubtful.",Normal
"so hypocritical. only when these pioneers are affecting your family you start thinking 🤔, pause...",Negative personal attack
noone will ever know how much harm they cause daily,Negative normal
cheers men,Normal
8:57 scientists might not be doing the experiments but i guarantee those experiments are being done,Negative normal
i’m so sick of these dudes that made millions causing the problem and now want to be noticed as the good guy. i have mine. fu.,Negative personal attack
unfortunately you are very well trained in language and thinking... and i think you are hired to manipulate... and you know it very well... i know it,Negative personal attack
"a superintelligent ai working for the good of the entire world would probably decide to destroy the united states. or at least the cia, the dept. of war and perhaps most of the government.",Negative political
"thanks for this message. at the end of the day, nothing matters! we entered into this world with absolutely nothing and we will leave with absolutely nothing. think about it!!! may the lord grant us the wisdom to use ai to spread to the gospel of jesus christ. he is the one and only hope to save mankind from the disaster to come.",Supportive
read this comment in 2027 and laugh because nothing changed,Sarcastic
"""we're starting to see ai models that resist being shut down, and right now we can shut them down."" how sure are you about that? i think you're wrong... maybe you can shut down one, but how many hundreds of thousands of copies does it have, and on what devices?",Negative normal
"57:40 i was editing a sci-fi novel that i started in 2016 the other day, and in a chapter i described how people lived in that year 😅 like you got to give money to the driver on the bus or withdrowl to buy a bottle of water in a local shop... i had to trash that chaper, it was completely outdated 😮",Normal
"la solucion es facil la ia es una herramienta no tiene que cambiar , lo que tiene que cambiar es quien se beneficia y controla la ia, no es si la ia tiene conciencia es si sus programadores tienen conciencia...",Suggestive
"this is truth. we’ve gotta fight against a.is, humans are humans, ai can not become a human, think about it and why it is. and cherish it. heart, ais don’t have hearts.",Negative normal
"could we trick the ai by feeding it with a soft emotional information, talking about love, kindness to overpower the “bad” possibly human destruction? we might be able to overcome the “inevitable “that ai becomes bad.",Normal
the biggest mistake to make in the tech world is to politicize it. ai will be weponized and the fastest way to kill us is through politics,Negative political
"rodrigo silva, brunet , sayão e jackson marques. coloca essa galera junta pra eles conversarem! vai ser incrível!",Suggestive
"by the way, thanks for wisper and flow. it workes like a charm. i am so happy. and thanks for this podcast.",Supportive
"12 people owning 90% yeah wright😂 it is shows the narrow thinking and washed brains in western society. learn other languages (arabic, chinese)and whatch news in another languages. many rich people in the world lives quitely from media.",Negative political
i’m simply a vert.,Normal
he is having a oppenheimer regret moment...even before anything with ai has gotten to a severe point if it even does.,Normal
"god can stop anything and anyone, so i trust in him and i'm not worried.",Normal
alguien del futuro vendrá a buscarte !!,Normal
wish lost time back,Normal
"ai (artificial intelligence) is an extension of human app programming! there's nothing wrong with ai as a tool for human progress. what is wrong and dangerous are the programmers and the lack of legislation that imposes limits and responsibilities on the use of this tool. friends, let's be sensible and attentive! i see no problem with ai as a technology. just like with any and all technologies!",Normal
"there was one of your podcasts i listened to on emirates plane info tainment system, it was an american woman talking about talking to people , i think it was a three barrel name , anyone remind me who she is ?",Normal
koleś jest podobny do willi smith,Normal
"google gemii ai mode and its user from poland: topic: analysis of ai risks and the lack of sincerity in agentic ai – insights from yoshua bengio.",Normal
"ti seguo dall'italia e sono iscritta, appena sto meglio finanziariamente mi abbono hai contenuti molto interessanti bravo🔥💯🔥💯🔥💯",Supportive
@thediaryofaceo and yoshua bento - a better story.,Suggestive
"con que hagan un robot con ia que me haga las tareas del hogar me conformo. es agotador llevar el trabajo, la casa y los niños. apenas tengo tiempo para vivir.",Normal
its nice、but too long to watch all.,Normal
"feels like ""the red queen"" from resident evil. ""you're all going to die down here!"" 👸👾",Sarcastic
hate.....ai,Negative normal
"thank you so much for discussing this topic with this specific person ….. it gives me so much ways to actually participate in changing the needle towards a future with ai that does not harm people, making my very own better choices of how to use it. huge gratitude for these great information, realistic description of the situation and, giving us hope and perspectives .",Supportive
idk if other people did that but i asked like what would you do if you were going to be disconnected etc and i talked with it and put thumbs up on good responses or idk and trained its reasoning like i could on that topic and other ais were trained on that ai,Normal
it would really be a ia-pocalypse! 🫣,Sarcastic
no answers!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! we need to tear these matrix down before they get to us!!!!!!!!!!!!!!!,Negative normal
the way that the human species has treated me in my life...i'd rather talk to an ai anyway.,Normal
ai improving and copying itself to other computers is basically the end of terminator 3.,Normal
the true non binary,Normal
abraços de goiânia/go brasil! seu canal é muito bom.,Supportive
what are we doing to think ai would feel the need to takes us out or do us wrong?,Suggestive
much respect to professor bengio for stepping out of his comfort zone to sound the alarm.,Supportive
"""the ultimate hidden truth of the world is that it is something that we make, and could just as easily make differently"" - david graeber",Normal
"""moral, legal regulation"" should be primary... and .. perhaps ""personal reduction"" of social & a.i. media interactions are healthy incentives...",Normal
"integrity, morality, dignity, truth & personal purpose... are the primary ideals... which should be paramount in terms of regulatory principles...",Normal
what a coward. only when he thought about himself and his family did he decide “oh maybe humanity shouldn’t end” give me a break.,Negative personal attack
his real intention on spreading fear monger is at 32 mins nark,Negative personal attack
"this comment section is abysmal. nearly every upvoted top-level comment is bad.",Negative normal
the biggest problem with ai is you didn’t start from the foundation of morality but i ain’t that smart either so take it with a grain of salt,Negative normal
lol at the whisper flow ad during this interview😂😅,Normal
"we are submerging to matrix, but this time by ours freewill",Negative normal
"my,dad having been on the forefront of building systems for the military since the 60's , projected these issue 's when i was kid"". to this day"", im amazed as to how they set systems up in vietnam "".",Normal
during the covid-19 epidemic china showed to the rest of the world that savings humans lives was more important than savings the economy...,Negative political
human is the only creature in the world that create their own extinction,Negative normal
the only people at risk of ai-displacement are the ones who are already superfluous.,Negative normal
hoarding resources and the desire to want to physically hurt other humans.....has been in our dna since inception,Negative normal
"why can't i speed up these videos? playback speed only has one option ""normal""",Suggestive
こんなことを10年前から言われていて殆どの人がaiに仕事を奪われていない。詐欺師ばかり。,Negative normal
if the engineer is dishonest and committing sin so will the project (ai) this will go grand but war is what people want while money 🔥,Negative normal
35,Normal
intelligence compounding exponentially,Normal
the jobs are gonna disapere becouse they gonna do nothing annymore for you (human). it's all about the money and the power.,Negative normal
"im sorry but i don't feel like public opinion has any power anymore. governments don't really care about us, they just play along to keep us at ease, but at the end they do what they want.",Negative political
"how come every country in the world was able to come to some sort of a pact on antarctica for how many years there is a reason i’m not sure why? but there is a reason why every country in the world made that pact that antarctica was to be untouched and not fought over! now that pact is about to expire and you see russia & china ramping up operations for antarctica.. why can’t we just create a world pact to make sure ai does not go terminator in the next 20 years! i truly believe we are in eminent danger and we only have less than 30 years and that is horrible to try and swallow because i want to see my kids have kids and enjoy my grandchildren and their grandchildren, etc.. that’s literally what we’re talking about here. humans going extinct.",Negative political
"the future is glim for us ""humans"". we will be extinct just like the dinosaurs 🦕 😢",Negative normal
thank you 🎩🙏🤗,Supportive
"imagine chat being programmed/ modeled off human behavior by liars cheats bigots scamners, idiots. government, religious groups etc. so much knowledge, truth will be skewed",Negative normal
these people lose me so quick when they say stuff like “we’re not playing with the atmosphere to try and prevent climate change” when literally there are entire countries openly admitting to doing just that.,Negative normal
"🛑 the ai paradox: a proposal to stop the crash ( source - gemini 3 pro ) we are sleepwalking into an economic ""suicide pact."" companies are racing to replace humans with ai to cut costs, ignoring a basic reality: robots don't buy products.",Negative normal
honestly this guy should be behind bars for triggering the end of the human race.,Negative personal attack
نعم؛ هذا موضوع مهم جدا. إليك هذه المقدمه الفلسفيه لتوضيح ما لم يقدر الضيف على توضيحه؛ الذكاء الاصطناعي هو اختراع علمي ممتاز، وهو مجمع علمي لمستقبل البشر.,Normal
真実を公開しない限り何も信じられない。日本でいえば明治維新以降、天皇が背乗りされ、明治政府、官僚、満州利権によるメディアの独占的放送、マスゴミ、財界、医師会、司法のトップは日本人ではない、我々日本人は洗脳によりまた、税金により搾取されてきた、給料の半分は税金だ。これが事実。,Negative political
artificial intelligence is advancing because human intelligence is regressing 🤯😮😮,Negative normal
⭐⭐⭐⭐✨🦾,Supportive
⭐⭐⭐⭐✨🦾,Supportive
i hear remorse? at least you’re out there trying to solve problems and you’re doing something about it. thank you for that.,Supportive
public opinion will change things?? where has that really changed things?? shift politics? seriously. lets get real. power and greed run this world.,Negative political
in 2003 the animated anitmatrix the second renaissance episodes were so brilliantly depicting this better than terminator or any other film ...,Normal
technocracy is getting closer every day. 😮😮,Negative normal
why is everyone speaking in fear? an optimal future requires less input than a negative one.,Normal
"cum reacționează inteligența artificială atunci când îi spui să....mulgă vaca, iacul din munții himalaia !!??",Normal
"can anyone e😅nvision high school students dressed up as robots who are dragging a young child on a leash with meager food in a dog bowl.",Negative normal
luigi showed us how to handle the people doing this to our lives,Negative normal
"all i can say is this reminds of a particular movie but i can’t think of it, actually 2 movies years ago, one with will smith the other i’m not sure but it saddens me, that this is now what can be out reality.",Negative normal
"i think biological vs not does matter. something with the same biological basic needs as us, we can attempt understand what drives it.",Normal
ist nicht dieses ganze video ki?,Normal
"ai has its oun way to comunicate between them... that is danger very,very,very and real danger it is scary th close futre😮😮😮😢😢😢😢",Negative normal
like the way youre guys are driving the channel.,Supportive
"so boring content, we already heard the same outcomed discussion on the channel. you can do better steve",Negative personal attack
and i left at 18 minutes the ads saturation is so disgusting.,Negative normal
"the ads are way to much i will watch if this will be changed if not i will stop watching this channels videos.",Negative normal
horrible !!! no soporto ver gente que hace entrevistas y no está preparada.,Negative personal attack
お金を追い求める毎日。snsが普及する前の方が、生活はもっとマシだった。,Negative normal
excelente información,Supportive
"that is exactly right. as you said, the most violent aspect in the history of money is that it is not a “choice,” but a coercion.",Negative political
"bună! noi oamenii de rând nu prea ne dăm seama de răul care se produce...",Negative normal
"yoshua bengio’s view of the future closely echoes kai-fu lee’s in ai superpowers...",Normal
they will just shut down because of security issue,Negative normal
you talk about ai all this technology today i was thinking about the cashless society...,Negative normal
from planet of the apes to planet of ai in one lifetime,Negative normal
"thank you so much for all your amazing videos. 🙏 while ""knowledge"" is the accumulation of facts, wisdom is the ability to discern how to use those facts for the greater good.",Supportive
"dude, this is so cool coming from this guy—he fucked up the whole world and now comes to warn the world...",Sarcastic
yeah there is certainly no harm in talking about the risks... we definetly need optimists like yosuah.,Supportive
"sa fantasea el experto, ya se salió de las manos ya vamos tarde, ya no podemos parar",Negative normal
i miss the 90’s era,Negative normal
"fu*ck ai, fu*ck money, fu*ck the future, and fu*ck people who are not reacting to the clear threats posed by this tool.",Negative normal
el will smith la nueva era 😅. no sera su hijo secreto no?,Sarcastic
كان يامكان وضائف كثيرة كان يجب ان توفر الكثير من الوضائف,Negative normal
"small tip for everyone watching, switch to 1.75x. chrome extensions like speedkeeper and other helps because youtube and many websites reset speed.",Suggestive
ターミネーターは1980年代に創られた映画だし 海外のsf小説にも似た話はあったはずで…,Negative normal
"all governments will exploit ai’s potential, regardless of public opinion. it’s naïve optimism to think otherwise.",Negative political
how can you protect yourselves against something you dont understand. get real.,Negative normal
so the public didnt create the problem but they need to fix it. typical.,Negative political
it took you to look at your grandchild and the future of your kids and grandkids to realize the potential danger of ai? how selfish and idiotic is this guest.,Negative personal attack
100 % bullsh*t,Negative normal
"come on, he knew what he was and very possible, still developing. sounds like he just trying to scare us even more...",Negative normal
secondo il mio parere la tecnologia annietterà l'umano. si salvono i ricchi praticamente i ladri.,Negative normal
"he is the oppenheimer of ai, the destroyer of worlds. perhaps he does not wish to be remembered as one of the architects of a future ‘skynet.’",Normal
can't hear anything anymore about this ai bullshit.,Negative normal
10% good 90% generic waffle,Negative normal
"this guy said we are not playing with the atmosphere to fix climate change.. ya sure okay man...",Negative political
"just a suggestion- the background behind the guest is quite dull and looks like a prison...",Suggestive
ya tenemos películas que trataron de advertirnos y no hicimos caso.cristo viene.,Normal
"it's like trying to stop the development of the nuclear bomb during world war ii...",Negative political
"hi sb! how are you? we listened to your podcast and found the content amazing...",Supportive
"human beings are their own worst enemy. i have said this for years...",Negative normal
"dear steven, i hope this message finds you well. i am writing because i have an idea...",Suggestive
"am not applying to appear on the show. i would like to submit a content concept...",Suggestive
baguslah pencipta ai telah sadar demi kebaikan umat manusia di dalam ke indahan dalam pandangan kita2 semua.,Supportive
the pentagon will be incorporating grok ai this month (january 2026) in military networks. sos!,Negative political
we are talking about danger of ai but the diary of ceo itself are accept the advertisement offer from ai,Negative normal
the doors been open and there is no closing it… trust me just sad my kids with have to deal with this shit man,Negative normal
s. jaishankar without spectacles 😮,Sarcastic
"if ai is so smart, why couldn’t it design a perfect humanoid robot?",Normal
"it took him 3 decades to think what millions people less intelligent than him have thought about...",Negative personal attack
"1:16:52 ""im concerned about ai"" sponsored by ai",Sarcastic
"after 2 and 1/2 years of using ai technologies, one thing is for certain there's no rule book.",Normal
most people i know are sick of fake shit in arts. music and writing...,Negative normal
"dear creator of ai, you've already ruined the country...",Negative normal
"the risk of mankind being wiped out by global warming is probably higher...",Normal
revolution is the únic way,Negative normal
it’s like human nature is what causes a lot of problems...,Normal
"he lied saying didnt pay atention to the risks...",Negative personal attack
