comment,label
😍😍😍,Supportive
i dont like taylor but this is amazing,Supportive
anyone 31th of january ?have a beautiful day ❤,Normal
🫶🏻😍😍😍😇😇😇😇🥹😀😀💕💕💕💕💕❤️❤️❤️❤️💕💕❤️😍😍😍😍,Supportive
anyone 31st of january?,Normal
anyone 1st of february 2026,Normal
last day of january 2026🎉,Normal
when you drive dont play this music...,Negative normal
❤️‍🔥❤️‍🔥❤️‍🔥waiting for a duet with manson ❤️‍🔥❤️‍🔥❤️‍🔥,Suggestive
"i'm a man and i have 1000 songs...",Supportive
anyone at 31st january,Normal
jan 31🎉🎉,Normal
anyone here on the 31st of january?,Normal
omg fav music video ever,Supportive
anyone 31st january 2026🎉,Normal
"the lack of a blast beat...",Negative normal
taylorrrr swift😍🔥,Supportive
anyone 31 january 🎉🎉🎉❤😅😊,Normal
2💥26,Normal
this song feels so refreshing...,Supportive
mornin believers mornin mum happy hebrew sabbath.....❤❤❤,Supportive
"people would never agree with me...",Supportive
favorite song❤,Supportive
song of the century 😩,Supportive
one word: pop perfection,Supportive
jejak saya 2026 anak 1,Normal
yo tis cool,Supportive
"hi, for me the song is perfect",Supportive
❤❤❤❤❤❤❤❤❤❤❤ i love this song,Supportive
i'm swiftie and number ones forever 😍🎉,Supportive
anyone february 1 2026??❤❤❤❤❤❤❤❤❤,Normal
jan 31....just tay things..❤,Normal
😊😊😊😊,Supportive
